"MUMBAI CITY",,,,,,
"Ward","Name(s) of Area(s)","Sub-Area / Industrial Zone","Key Commercial/Industrial Features","District","IT Hub","Corporate Hub"
"A","Colaba, Fort, Ballard Estate, Nariman Point, Cuffe Parade","Fort CBD, Ballard Estate Business District, Nariman Point Commercial Zone","Historic business district; headquarters of many financial institutions, banks, and corporate offices; premium commercial real estate","Mumbai City","–","Fort CBD, Ballard Estate Business District, Nariman Point Commercial Zone"
"B","Sandhurst Road, Dongri, Masjid Bunder","Masjid Bunder Commercial Area","Traditional trading and wholesale market area; textiles and general merchandise","Mumbai City","–","Masjid Bunder Commercial Area"
"C","Marine Lines, Marine Drive, Churchgate","Marine Drive Commercial Precinct, Churchgate Business Area","Premium office space; legal and financial district; high-rise commercial towers","Mumbai City","–","Marine Drive Commercial Precinct, Churchgate Business Area"
"D","Grant Road, Tardeo, Malabar Hill, Gamdevi","Tardeo Commercial Area","Mixed commercial-residential zone; retail and small business hub","Mumbai City","–","Tardeo Commercial Area"
"E","Byculla, Nagpada, Agripada","Byculla Industrial Area","Light industrial and warehousing; manufacturing units; wholesale distribution","Mumbai City","–","–"
"F/North","Matunga, Dadar (East), Parel","Parel Mill Compound Area, Dadar Commercial Hub","Former mill lands converted to commercial and residential; emerging office spaces; retail hub","Mumbai City","–","Parel Mill Compound Area, Dadar Commercial Hub"
"F/South","Lower Parel, Elphinstone, Chinchpokli","Lower Parel Commercial District, Elphinstone Business Zone, Peninsula Business Park","Premium commercial district; converted mill compounds into modern office complexes; media and finance companies","Mumbai City","Peninsula Business Park","Lower Parel Commercial District, Elphinstone Business Zone"
"G/North","Dadar (West), Shivaji Park","Dadar Commercial Hub","Retail and commercial center; educational institutions; Shivaji Park residential area","Mumbai City","–","Dadar Commercial Hub"
"G/South","Prabhadevi, Worli","Prabhadevi Commercial Area, Worli Business District, Senapati Bapat Marg","Premium office corridor; headquarters of major corporations; media and advertising hub; Worli Sea Face commercial developments","Mumbai City","–","Prabhadevi Commercial Area, Worli Business District, Senapati Bapat Marg"
"H/East","Khar (East), Santacruz (East), Vile Parle (East)","Santacruz Electronics Export Processing Zone (SEEPZ)","Special Economic Zone (SEZ); gem and jewelry exports; electronics manufacturing; IT/ITES companies","Mumbai Suburban","SEEPZ SEZ   ","–"
"H/West","Bandra (West), Khar (West), Santacruz (West)","Bandra-Kurla Complex (BKC) (partial), Bandra Reclamation","Premium commercial district; financial hub; diamond trading; corporate headquarters; high-end retail","Mumbai Suburban","–","Bandra-Kurla Complex (BKC)    "
"K/East","Andheri (East), Jogeshwari (East), Vile Parle (East)","MIDC Andheri, SEEPZ, Marol Industrial Area, Chakala, International Airport Zone","Major industrial and IT hub; Marol pipeline industrial area; proximity to international airport; film and media post-production studios; engineering and manufacturing units","Mumbai Suburban","SEEPZ++  , MIDC Andheri IT Zone","Marol Business District, Chakala Corporate Zone"
"K/West","Andheri (West), Juhu, Versova","Andheri West Commercial Area, Juhu Commercial Zone","Retail and entertainment hub; film industry presence (Bollywood); Versova commercial zone; hospitality industry","Mumbai Suburban","–","Andheri West Commercial Area"
"L","Kurla, Saki Naka, Chandivali","MIDC Kurla, Saki Naka Industrial Area, Chandivali Commercial Zone, Bandra-Kurla Complex (BKC) (partial)","Industrial and commercial mix; Saki Naka IT corridor; business process outsourcing (BPO) centers; logistics and warehousing","Mumbai Suburban","–","Bandra-Kurla Complex (BKC)    "
"M/East","Chembur (East), Deonar, Govandi","Deonar Industrial Area","Industrial area; waste management facilities; manufacturing units; dumping ground","Mumbai Suburban","–","–"
"M/West","Chembur (West)","Chembur Commercial Area","Residential-commercial mix; retail hubs; diamond trading presence; established middle-class locality","Mumbai Suburban","–","Chembur Commercial Area"
"N","Ghatkopar, Vikhroli","MIDC Ghatkopar, Vikhroli Industrial Area, Godrej Industrial Precinct","Industrial and manufacturing hub; Godrej industrial campus; IT parks; commercial complexes along LBS Marg","Mumbai Suburban","–","Godrej Industrial Precinct (corporate HQ)"
"P/North","Malad, Marve, Aksa","MIDC Malad, Mindspace Malad","Major IT park (Mindspace); business process outsourcing (BPO) and IT/ITES companies; commercial developments along Western Express Highway","Mumbai Suburban","Mindspace Malad   , Quantum Tower  ","–"
"P/South","Goregaon, Aarey Colony","MIDC Goregaon, NESCO IT Park, Film City Road Commercial Zone","NESCO IT Park; Film City (entertainment industry); industrial estates; commercial complexes; wholesale markets","Mumbai Suburban","NESCO IT Park  ","–"
"R/Central","Borivali, Mandapeshwar","Borivali Commercial Area","Retail and commercial hub; educational institutions; healthcare facilities; residential-commercial mix","Mumbai Suburban","–","Borivali Commercial Area"
"R/North","Dahisar","Dahisar Industrial Area","Light industrial units; manufacturing; commercial developments along highway; entry point to Mumbai city","Mumbai Suburban","–","–"
"R/South","Kandivali, Charkop","MIDC Kandivali, Charkop Industrial Area","Industrial estates; small and medium manufacturing units; commercial complexes; retail parks","Mumbai Suburban","–","–"
"S","Bhandup, Nahur","MIDC Bhandup","Industrial area; manufacturing units; paper and packaging industries; commercial developments","Mumbai Suburban","–","–"
"T","Mulund","MIDC Mulund","Industrial area; pharmaceutical manufacturing; engineering units; commercial complexes; residential-commercial mix","Mumbai Suburban","–","–"
"Navi Mumbai Nodes",,,,,,
"Ward","Name(s) of Area(s)","Sub-Area / Industrial Zone","Key Commercial/Industrial Features","District","IT Hub","Corporate Hub"
